N,Comparisons
1000,283800
2000,562800
3000,859400
4000,1143800
5000,1436200
6000,1716800
7000,2014600
8000,2306600
9000,2604000
10000,2895600
11000,3184400
12000,3479400
13000,3783600
14000,4063200
15000,4362800
16000,4669400
17000,4969200
18000,5259200
19000,5558000
20000,5853800
21000,6148200
22000,6423000
23000,6738200
24000,7026600
25000,7334000
26000,7617000
27000,7898800
28000,8195200
29000,8498000
30000,8785200
31000,9069800
32000,9390400
33000,9673600
34000,9967600
35000,10236600
36000,10548200
37000,10835000
38000,11151200
39000,11432000
40000,11745600
41000,12058400
42000,12350600
43000,12647000
44000,12928800
45000,13216400
46000,13512200
47000,13820200
48000,14094600
49000,14384000
50000,14698200
51000,14998400
52000,15286600
53000,15563800
54000,15857400
55000,16146400
56000,16443400
57000,16715000
58000,17000600
59000,17295400
60000,17579600
