N,Comparisons
1000,298600
2000,587000
3000,874800
4000,1162600
5000,1459600
6000,1749800
7000,2037000
8000,2336000
9000,2629800
10000,2922400
11000,3219400
12000,3510200
13000,3795200
14000,4092600
15000,4369200
16000,4652000
17000,4943400
18000,5236400
19000,5512800
20000,5801800
21000,6112600
22000,6412000
23000,6697200
24000,6988600
25000,7277600
26000,7570800
27000,7861600
28000,8141400
29000,8426000
30000,8713600
31000,9000600
32000,9282600
33000,9568400
34000,9865600
35000,10154600
36000,10427400
37000,10711600
38000,11005600
39000,11311600
40000,11612200
41000,11892000
42000,12182000
43000,12476800
44000,12775800
45000,13057600
46000,13335000
47000,13626000
48000,13923400
49000,14203600
50000,14486200
51000,14779600
52000,15074800
53000,15365800
54000,15661400
55000,15955800
56000,16250000
57000,16560800
58000,16842600
59000,17130800
60000,17416400
