N,Comparisons
1000,333200
2000,741200
3000,1154600
4000,1574600
5000,2015200
6000,2434400
7000,2892000
8000,3314800
9000,3718400
10000,4137600
11000,4547200
12000,4979000
13000,5323000
14000,5699600
15000,6102600
16000,6478000
17000,6648200
18000,6679600
19000,6305200
20000,5871600
21000,5803000
22000,6015800
23000,6303800
24000,6626200
25000,6966400
26000,7282600
27000,7632800
28000,7970400
29000,8323800
30000,8656200
31000,9005800
32000,9353400
33000,9706800
34000,10057400
35000,10404600
36000,10754800
37000,11104000
38000,11441200
39000,11799600
40000,12145200
41000,12493600
42000,12872000
43000,13219400
44000,13551000
45000,13899800
46000,14279400
47000,14607600
48000,14960000
49000,15321200
50000,15677000
51000,16049400
52000,16407400
53000,16766600
54000,17129400
55000,17469000
56000,17844600
57000,18218000
58000,18590600
59000,18962600
60000,19336200
