N,Comparisons
1000,1651200
2000,3700400
3000,5801000
4000,8171200
5000,10391200
6000,12810800
7000,15257200
8000,17851000
9000,20313200
10000,22690800
11000,25218200
12000,27923000
13000,30590000
14000,33288600
15000,36030600
16000,38858400
17000,41481000
18000,44103000
19000,46644200
20000,49289400
21000,52040000
22000,54777400
23000,57710200
24000,60461800
25000,63331200
26000,66142400
27000,69009400
28000,71808400
29000,74731600
30000,77661400
31000,80697600
32000,83778800
33000,86831600
34000,89261000
35000,91982000
36000,94761600
37000,97479800
38000,100264600
39000,103082400
40000,105949400
41000,109017000
42000,111650000
43000,114292200
44000,117295600
45000,120277200
46000,123340600
47000,126062200
48000,129072000
49000,132394800
50000,134930600
51000,137765400
52000,140608600
53000,143545600
54000,146319200
55000,149109600
56000,152014000
57000,155031600
58000,157946600
59000,160362400
60000,163193200
