N,Comparisons
1000,1008800
2000,2217600
3000,3615200
4000,4835200
5000,6400800
6000,7830400
7000,9236000
8000,10470400
9000,12159200
10000,13801600
11000,15402400
12000,16860800
13000,18407200
14000,19872000
15000,21272800
16000,22540800
17000,24237600
18000,26118400
19000,27916000
20000,29603200
21000,31301600
22000,33004800
23000,34610400
24000,36121600
25000,37695200
26000,39414400
27000,41013600
28000,42544000
29000,44008800
30000,45545600
31000,46941600
32000,48281600
33000,49717600
34000,51875200
35000,53872800
36000,55836800
37000,57658400
38000,59632000
39000,61428000
40000,63206400
41000,64816800
42000,66803200
43000,68599200
44000,70409600
45000,72024800
46000,73820800
47000,75442400
48000,77043200
49000,78477600
50000,80390400
51000,82228000
52000,84028800
53000,85672800
54000,87427200
55000,89087200
56000,90688000
57000,92156000
58000,93817600
59000,95490400
60000,97091200
