N,Comparisons
1000,1744200
2000,3889000
3000,6188600
4000,8574600
5000,11050000
6000,13571200
7000,16145000
8000,18737800
9000,21393200
10000,24109200
11000,26802200
12000,29527400
13000,32304800
14000,35077800
15000,37853200
16000,40666400
17000,43504400
18000,46373400
19000,49274800
20000,52187000
21000,55094600
22000,57998200
23000,60937000
24000,63853600
25000,66816200
26000,69806800
27000,72754600
28000,75749600
29000,78735400
30000,81718000
31000,84720400
32000,87739400
33000,90731600
34000,93812400
35000,96907000
36000,99974600
37000,103070600
38000,106172600
39000,109275000
40000,112351400
41000,115443800
42000,118570400
43000,121696000
44000,124812800
45000,127987200
46000,131073400
47000,134230400
48000,137327800
49000,140458800
50000,143650800
51000,146823000
52000,149982800
53000,153169200
54000,156309800
55000,159527600
56000,162687000
57000,165848800
58000,169069200
59000,172208600
60000,175412600
