N,Comparisons
1000,2398600
2000,5356200
3000,8624000
4000,11410800
5000,14657200
6000,18691200
7000,21269000
8000,24989200
9000,28277200
10000,31522000
11000,35322000
12000,38575000
13000,41926800
14000,45194600
15000,49329800
16000,53484800
17000,55854000
18000,59803600
19000,63536000
20000,67174600
21000,71277400
22000,73839000
23000,78067200
24000,81497000
25000,83934000
26000,89286200
27000,92308400
28000,96546400
29000,98997200
30000,103254800
31000,108658000
32000,111755800
33000,113821400
34000,118068600
35000,121575400
36000,124964800
37000,128926600
38000,133559600
39000,136327000
40000,148452800
41000,144653400
42000,149037800
43000,151091200
44000,155192800
45000,159688200
46000,163892800
47000,166296600
48000,170683600
49000,173811600
50000,178230800
51000,182848400
52000,187380400
53000,191257800
54000,193906400
55000,196483600
56000,199118400
57000,204176600
58000,206207400
59000,208008800
60000,220902800
