N,Comparisons
1000,2572400
2000,5756400
3000,9246200
4000,12736400
5000,16436600
6000,20312200
7000,24093600
8000,27907600
9000,31820200
10000,35938600
11000,40164400
12000,44247000
13000,48345800
14000,52431200
15000,56556600
16000,60656800
17000,64813600
18000,69116600
19000,73511000
20000,77990200
21000,82411400
22000,86969200
23000,91316600
24000,95699000
25000,100032000
26000,104481400
27000,108786400
28000,113249600
29000,117729200
30000,122064200
31000,126462200
32000,130949200
33000,135401000
34000,139958000
35000,144636400
36000,149161000
37000,153735200
38000,158600200
39000,163309800
40000,168129400
41000,172827600
42000,177545800
43000,182334200
44000,187120000
45000,191745600
46000,196348200
47000,201043800
48000,205713400
49000,210283600
50000,215003200
51000,219747400
52000,224398600
53000,228872400
54000,233666800
55000,238396000
56000,243126400
57000,247945000
58000,252660400
59000,257290200
60000,262001400
