N,Comparisons
1000,2387200
2000,5250400
3000,8416000
4000,11701000
5000,15153000
6000,17904200
7000,21310600
8000,24923800
9000,28346000
10000,32336000
11000,36447200
12000,39793600
13000,42793400
14000,46299400
15000,49051200
16000,54097400
17000,56434600
18000,60913800
19000,67051000
20000,68350400
21000,70991200
22000,76110800
23000,79258400
24000,87031600
25000,89089600
26000,90378400
27000,94644600
28000,102254400
29000,104252400
30000,104701600
31000,111789000
32000,116154600
33000,116631800
34000,120972200
35000,128925800
36000,130827600
37000,132401800
38000,136815400
39000,142423200
40000,148644600
41000,148457200
42000,161404600
43000,156313600
44000,164608600
45000,168040000
46000,167349400
47000,175737000
48000,181735800
49000,189916800
50000,191688000
51000,194122200
52000,199313600
53000,197028600
54000,202599200
55000,206454600
56000,211730200
57000,212122800
58000,219529800
59000,224178400
60000,226494200
