N,Comparisons
1000,4238
2000,8561
3000,13311
4000,17180
5000,22216
6000,26666
7000,31075
8000,34380
9000,39540
10000,44477
11000,49214
12000,53589
13000,58300
14000,62125
15000,65371
16000,68984
17000,73660
18000,79136
19000,84146
20000,88987
21000,93892
22000,98593
23000,103160
24000,107181
25000,111272
26000,116601
27000,119997
28000,124078
29000,127476
30000,130951
31000,134653
32000,138019
33000,141802
34000,147404
35000,152936
36000,158389
37000,163645
38000,168496
39000,173590
40000,178450
41000,183355
42000,187965
43000,192803
44000,197325
45000,201750
46000,206520
47000,210295
48000,214347
49000,218301
50000,222528
51000,226976
52000,232553
53000,235856
54000,239986
55000,243940
56000,247438
57000,251156
58000,254980
59000,258525
60000,262249
