N,Comparisons
1000,7911
2000,17627
3000,28061
4000,38606
5000,49759
6000,60913
7000,72357
8000,83751
9000,95595
10000,107531
11000,119363
12000,131372
13000,143574
14000,155810
15000,168061
16000,180099
17000,192470
18000,205246
19000,217817
20000,230773
21000,243849
22000,256421
23000,269436
24000,282154
25000,295191
26000,308401
27000,321399
28000,334734
29000,347464
30000,360957
31000,373906
32000,387286
33000,400389
34000,413924
35000,427847
36000,441377
37000,454877
38000,468569
39000,482130
40000,495601
41000,509784
42000,523557
43000,537276
44000,551008
45000,565092
46000,578896
47000,592883
48000,606501
49000,620694
50000,634405
51000,648150
52000,662460
53000,676713
54000,690645
55000,704759
56000,718721
57000,732540
58000,746711
59000,761140
60000,774972
