N,Comparisons
1000,344800
2000,682000
3000,1053400
4000,1395000
5000,1717200
6000,2045600
7000,2425200
8000,2773200
9000,3107000
10000,3468800
11000,3802200
12000,4183800
13000,4505200
14000,4873000
15000,5204800
16000,5538400
17000,5911600
18000,6184600
19000,6560600
20000,6877200
21000,7224400
22000,7572200
23000,8033600
24000,8383400
25000,8714400
26000,9027600
27000,9350600
28000,9739200
29000,10037600
30000,10438000
31000,10755600
32000,11102400
33000,11499200
34000,11843200
35000,12227200
36000,12542000
37000,12886600
38000,13204600
39000,13575800
40000,14004400
41000,14376200
42000,14666400
43000,15066400
44000,15364600
45000,15705200
46000,16112800
47000,16443000
48000,16796000
49000,17169000
50000,17492600
51000,17804800
52000,18242000
53000,18575800
54000,18886200
55000,19233600
56000,19604800
57000,19880400
58000,20271400
59000,20640200
60000,21006800
