N,Comparisons
1000,346400
2000,691200
3000,1044000
4000,1381000
5000,1720400
6000,2074800
7000,2425400
8000,2766200
9000,3105800
10000,3485200
11000,3830000
12000,4188600
13000,4521000
14000,4846400
15000,5210000
16000,5521000
17000,5880000
18000,6186000
19000,6571800
20000,6908400
21000,7252200
22000,7628000
23000,7967000
24000,8300200
25000,8650600
26000,8997200
27000,9340200
28000,9695400
29000,10017400
30000,10319400
31000,10697000
32000,11070800
33000,11414600
34000,11715600
35000,12083800
36000,12438400
37000,12771200
38000,13128200
39000,13468800
40000,13804200
41000,14200000
42000,14500200
43000,14838000
44000,15184800
45000,15517800
46000,15830600
47000,16254400
48000,16581800
49000,16891200
50000,17267800
51000,17584600
52000,17907200
53000,18302200
54000,18627000
55000,18993800
56000,19351600
57000,19670800
58000,20037800
59000,20339400
60000,20699400
