N,Comparisons
1000,373000
2000,772600
3000,1181800
4000,1616200
5000,2051000
6000,2476800
7000,2911400
8000,3366400
9000,3775800
10000,4181200
11000,4591000
12000,4981800
13000,5362200
14000,5775800
15000,6139000
16000,6521200
17000,6901200
18000,7274200
19000,7675200
20000,8035200
21000,8395200
22000,8729600
23000,9091200
24000,9436600
25000,9819400
26000,10160400
27000,10531800
28000,10848200
29000,11225400
30000,11591600
31000,11924600
32000,12288200
33000,12593600
34000,12981800
35000,13340600
36000,13687200
37000,14046000
38000,14412000
39000,14733400
40000,15072800
41000,15412400
42000,15794000
43000,16162600
44000,16527400
45000,16870800
46000,17219000
47000,17504600
48000,17921200
49000,18258400
50000,18665800
51000,18973200
52000,19386600
53000,19777200
54000,20093000
55000,20496200
56000,20805800
57000,21191400
58000,21482000
59000,21906400
60000,22300600
