N,Time
1000,80
2000,154
3000,228
4000,303
5000,371
6000,473
7000,528
8000,594
9000,675
10000,810
11000,849
12000,1055
13000,1043
14000,1138
15000,1181
16000,1355
17000,1444
18000,1517
19000,1556
20000,1642
21000,1924
22000,1956
23000,2096
24000,2200
25000,2303
26000,2378
27000,2369
28000,2431
29000,2579
30000,2741
31000,2953
32000,2876
33000,3174
34000,3480
35000,3456
36000,3566
37000,3661
38000,3481
39000,3575
40000,3695
41000,4252
42000,4202
43000,5017
44000,4764
45000,5055
46000,4763
47000,4826
48000,5076
49000,5144
50000,6306
51000,5355
52000,5355
53000,5389
54000,5465
55000,6502
56000,6150
57000,7758
58000,7385
59000,7415
60000,7969
