N,Time
1000,71
2000,146
3000,216
4000,282
5000,403
6000,498
7000,580
8000,673
9000,833
10000,999
11000,1120
12000,912
13000,972
14000,1222
15000,1406
16000,1236
17000,1325
18000,1453
19000,1520
20000,1586
21000,1674
22000,1788
23000,1869
24000,1947
25000,2236
26000,2164
27000,2226
28000,2248
29000,2331
30000,2442
31000,3060
32000,3014
33000,2782
34000,2722
35000,2959
36000,3298
37000,4453
38000,3552
39000,3155
40000,3394
41000,3388
42000,3626
43000,3727
44000,3831
45000,4841
46000,3980
47000,4124
48000,4396
49000,4245
50000,4569
51000,4511
52000,4624
53000,4750
54000,4744
55000,4858
56000,5101
57000,5182
58000,5222
59000,5244
60000,5466
