N,Time
1000,65
2000,148
3000,249
4000,379
5000,490
6000,617
7000,725
8000,865
9000,1007
10000,1102
11000,1260
12000,1341
13000,1443
14000,1548
15000,1620
16000,1687
17000,1857
18000,1867
19000,1959
20000,2065
21000,2120
22000,2204
23000,2327
24000,2482
25000,2467
26000,2561
27000,2650
28000,3150
29000,2919
30000,2930
31000,3050
32000,3085
33000,3190
34000,3335
35000,3427
36000,3595
37000,3617
38000,3711
39000,3805
40000,3907
41000,4023
42000,4139
43000,4263
44000,4677
45000,5747
46000,4811
47000,4883
48000,5273
49000,5186
50000,6391
51000,5329
52000,5547
53000,6014
54000,6298
55000,6133
56000,6171
57000,7811
58000,6571
59000,7007
60000,6949
