N,Time
1000,42
2000,82
3000,129
4000,174
5000,218
6000,326
7000,318
8000,492
9000,545
10000,578
11000,733
12000,774
13000,643
14000,856
15000,789
16000,873
17000,958
18000,1039
19000,1483
20000,1577
21000,1384
22000,1424
23000,1487
24000,1689
25000,1682
26000,1778
27000,2101
28000,2274
29000,3908
30000,2419
31000,2925
32000,2634
33000,2741
34000,3190
35000,3037
36000,3272
37000,2828
38000,3280
39000,3347
40000,3606
41000,3497
42000,3386
43000,3544
44000,4427
45000,4014
46000,4241
47000,4844
48000,6192
49000,7112
50000,5415
51000,5538
52000,5038
53000,4950
54000,6258
55000,5291
56000,7060
57000,5594
58000,6791
59000,8614
60000,7856
