N,Time
1000,47
2000,87
3000,129
4000,201
5000,266
6000,330
7000,360
8000,439
9000,501
10000,472
11000,757
12000,861
13000,850
14000,1012
15000,884
16000,1252
17000,1328
18000,1234
19000,1246
20000,1273
21000,1336
22000,1859
23000,1757
24000,1696
25000,1728
26000,1628
27000,1875
28000,2172
29000,2147
30000,2408
31000,2121
32000,2234
33000,2112
34000,2214
35000,2519
36000,3605
37000,2665
38000,2600
39000,2654
40000,2996
41000,3497
42000,2765
43000,2926
44000,3583
45000,3343
46000,3349
47000,3810
48000,4008
49000,4161
50000,4071
51000,3745
52000,3832
53000,3863
54000,3919
55000,4157
56000,4616
57000,4351
58000,4334
59000,4929
60000,5253
