N,Time
1000,50
2000,118
3000,196
4000,281
5000,361
6000,448
7000,532
8000,599
9000,685
10000,771
11000,879
12000,981
13000,1071
14000,1152
15000,1270
16000,1368
17000,1413
18000,1396
19000,1327
20000,1139
21000,1109
22000,1293
23000,1811
24000,1992
25000,1760
26000,1563
27000,1669
28000,1802
29000,1914
30000,2083
31000,2210
32000,2580
33000,2558
34000,2524
35000,2623
36000,2803
37000,3863
38000,3143
39000,3195
40000,3355
41000,3499
42000,3675
43000,3803
44000,4113
45000,4272
46000,4471
47000,4577
48000,5487
49000,5218
50000,5029
51000,5154
52000,6545
53000,5459
54000,5588
55000,5843
56000,6262
57000,6681
58000,6507
59000,6570
60000,6729
