N,Time
1000,76
2000,167
3000,258
4000,367
5000,473
6000,563
7000,664
8000,793
9000,900
10000,996
11000,1137
12000,1221
13000,1391
14000,1495
15000,1602
16000,1908
17000,2003
18000,2158
19000,2294
20000,2460
21000,2584
22000,2913
23000,3003
24000,3104
25000,3352
26000,3494
27000,3835
28000,3996
29000,4335
30000,4343
31000,4564
32000,5037
33000,5354
34000,5373
35000,5727
36000,5716
37000,6144
38000,6528
39000,6627
40000,6729
41000,6788
42000,6704
43000,6835
44000,7238
45000,7330
46000,7530
47000,7692
48000,7997
49000,8255
50000,8375
51000,9676
52000,9783
53000,9951
54000,9966
55000,10277
56000,10248
57000,10782
58000,10876
59000,11285
60000,11647
