N,Time
1000,58
2000,128
3000,217
4000,268
5000,356
6000,460
7000,508
8000,586
9000,674
10000,775
11000,953
12000,1048
13000,1164
14000,1161
15000,1259
16000,1355
17000,1590
18000,1596
19000,1778
20000,1860
21000,1979
22000,2226
23000,2363
24000,2432
25000,2571
26000,2695
27000,2911
28000,2853
29000,2964
30000,3069
31000,3198
32000,3296
33000,3485
34000,3622
35000,3734
36000,3811
37000,3939
38000,4072
39000,4170
40000,4246
41000,4344
42000,4418
43000,4817
44000,5365
45000,5267
46000,5374
47000,5493
48000,5606
49000,5748
50000,5868
51000,6066
52000,6190
53000,6206
54000,6498
55000,6661
56000,6394
57000,6539
58000,6631
59000,6819
60000,6928
