N,Time
1000,104
2000,233
3000,372
4000,520
5000,667
6000,801
7000,947
8000,1158
9000,1261
10000,1442
11000,1564
12000,1759
13000,1947
14000,2087
15000,2273
16000,2429
17000,2590
18000,2788
19000,3000
20000,3306
21000,3331
22000,3753
23000,3777
24000,3966
25000,4552
26000,4623
27000,4720
28000,4978
29000,5406
30000,5650
31000,5899
32000,6205
33000,6500
34000,6837
35000,7414
36000,7388
37000,7672
38000,8026
39000,8351
40000,8856
41000,8853
42000,9086
43000,9251
44000,9786
45000,10018
46000,10291
47000,10560
48000,10810
49000,11086
50000,11543
51000,11906
52000,12314
53000,12498
54000,12929
55000,13243
56000,13610
57000,13979
58000,14379
59000,14832
60000,15089
