N,Time
1000,98
2000,214
3000,337
4000,450
5000,587
6000,750
7000,867
8000,1001
9000,1154
10000,1286
11000,1477
12000,1593
13000,1755
14000,2013
15000,2207
16000,2342
17000,2528
18000,2736
19000,2917
20000,3008
21000,3325
22000,3406
23000,3899
24000,3822
25000,4060
26000,4270
27000,4512
28000,4977
29000,5054
30000,5277
31000,5623
32000,5734
33000,5976
34000,6269
35000,6547
36000,7217
37000,7476
38000,7753
39000,8128
40000,8602
41000,8202
42000,8654
43000,8783
44000,9312
45000,9474
46000,9871
47000,10212
48000,10889
49000,10611
50000,11167
51000,11573
52000,11664
53000,12026
54000,12420
55000,12675
56000,12847
57000,13052
58000,13312
59000,13524
60000,13789
