N,Time
1000,90
2000,202
3000,318
4000,446
5000,537
6000,665
7000,821
8000,920
9000,1065
10000,1220
11000,1364
12000,1533
13000,1678
14000,1920
15000,2111
16000,2245
17000,2409
18000,2584
19000,2769
20000,2995
21000,3174
22000,3346
23000,3582
24000,3745
25000,3964
26000,4103
27000,4445
28000,4554
29000,4831
30000,4960
31000,5119
32000,5422
33000,5519
34000,5677
35000,5941
36000,6029
37000,6650
38000,6960
39000,6825
40000,6930
41000,7097
42000,7348
43000,7662
44000,7711
45000,7913
46000,8135
47000,8298
48000,8646
49000,8916
50000,9193
51000,9309
52000,9518
53000,9753
54000,9924
55000,10243
56000,10465
57000,10680
58000,10774
59000,11036
60000,11454
