N,Time
1000,122
2000,247
3000,415
4000,552
5000,704
6000,856
7000,1045
8000,1184
9000,1398
10000,1533
11000,1800
12000,1925
13000,2050
14000,2243
15000,2446
16000,2603
17000,2798
18000,2992
19000,3306
20000,3291
21000,3546
22000,3825
23000,3948
24000,4323
25000,4488
26000,4753
27000,5048
28000,5421
29000,5700
30000,5955
31000,6533
32000,6865
33000,7013
34000,7263
35000,7634
36000,7950
37000,8419
38000,8824
39000,8978
40000,9648
41000,10109
42000,10605
43000,10360
44000,11062
45000,11044
46000,11321
47000,11960
48000,12884
49000,13629
50000,13015
51000,13018
52000,14150
53000,13868
54000,14374
55000,15146
56000,15221
57000,15457
58000,15707
59000,16555
60000,16787
