N,Time
1000,88
2000,188
3000,299
4000,413
5000,517
6000,619
7000,740
8000,857
9000,1019
10000,1077
11000,1216
12000,1345
13000,1515
14000,1641
15000,1864
16000,1953
17000,2140
18000,2289
19000,2467
20000,2645
21000,2869
22000,3054
23000,3289
24000,3503
25000,3765
26000,4044
27000,4199
28000,4404
29000,4622
30000,5341
31000,5665
32000,5713
33000,5635
34000,5904
35000,6140
36000,6409
37000,7095
38000,7171
39000,7396
40000,7759
41000,7726
42000,7990
43000,8156
44000,8453
45000,8726
46000,9048
47000,9266
48000,9757
49000,10443
50000,10554
51000,10629
52000,10652
53000,11237
54000,11187
55000,11473
56000,11685
57000,11955
58000,12013
59000,12280
60000,12516
