N,Time
1000,74
2000,155
3000,251
4000,324
5000,415
6000,493
7000,565
8000,676
9000,782
10000,863
11000,978
12000,1088
13000,1230
14000,1387
15000,1475
16000,1619
17000,1777
18000,1939
19000,2049
20000,2167
21000,2374
22000,2562
23000,2626
24000,2826
25000,2936
26000,3074
27000,3725
28000,3721
29000,3991
30000,3982
31000,4138
32000,4360
33000,4296
34000,4381
35000,4547
36000,4708
37000,4898
38000,5046
39000,5125
40000,5444
41000,5672
42000,5665
43000,5926
44000,6072
45000,6183
46000,6289
47000,6419
48000,6543
49000,6661
50000,6796
51000,6965
52000,7193
53000,7294
54000,7530
55000,7641
56000,7739
57000,7767
58000,7991
59000,7995
60000,8208
