N,Time
1000,132
2000,284
3000,456
4000,601
5000,754
6000,929
7000,1134
8000,1305
9000,1542
10000,1732
11000,1914
12000,2060
13000,2280
14000,2628
15000,2740
16000,2915
17000,3104
18000,3399
19000,3598
20000,3815
21000,4256
22000,4367
23000,4789
24000,5054
25000,5406
26000,5739
27000,6061
28000,6424
29000,6727
30000,7456
31000,7479
32000,7758
33000,8635
34000,9848
35000,9255
36000,9564
37000,9932
38000,10279
39000,10659
40000,10997
41000,11449
42000,12122
43000,12281
44000,12843
45000,13152
46000,13552
47000,13767
48000,14171
49000,14596
50000,15187
51000,15545
52000,15722
53000,16031
54000,16341
55000,16625
56000,16969
57000,17531
58000,17752
59000,17794
60000,18091
