N,Time
1000,52
2000,103
3000,174
4000,236
5000,308
6000,371
7000,459
8000,523
9000,589
10000,675
11000,802
12000,845
13000,1043
14000,1028
15000,1146
16000,1238
17000,1358
18000,1478
19000,1550
20000,1686
21000,1810
22000,1936
23000,1997
24000,2108
25000,2260
26000,2516
27000,2521
28000,2697
29000,3004
30000,3334
31000,3306
32000,3782
33000,3626
34000,4626
35000,6189
36000,4684
37000,4252
38000,4373
39000,4585
40000,5464
41000,5209
42000,5206
43000,5558
44000,5655
45000,5737
46000,5892
47000,6030
48000,6436
49000,6515
50000,6471
51000,6667
52000,7531
53000,6980
54000,7243
55000,8248
56000,7924
57000,8040
58000,8821
59000,8819
60000,9072
