N,Time
1000,56
2000,113
3000,171
4000,236
5000,294
6000,349
7000,421
8000,526
9000,569
10000,642
11000,754
12000,802
13000,884
14000,980
15000,1090
16000,1153
17000,1275
18000,1359
19000,1473
20000,1560
21000,1658
22000,1801
23000,1851
24000,1968
25000,2065
26000,2176
27000,2278
28000,2363
29000,2559
30000,2594
31000,2662
32000,2842
33000,2880
34000,2959
35000,3093
36000,3198
37000,3229
38000,3392
39000,3432
40000,3645
41000,3572
42000,3828
43000,3824
44000,3894
45000,4233
46000,4652
47000,4395
48000,4458
49000,4499
50000,4815
51000,4715
52000,4711
53000,4802
54000,4967
55000,5107
56000,5166
57000,5285
58000,5414
59000,5485
60000,5629
