N,Time
1000,85
2000,184
3000,297
4000,423
5000,520
6000,627
7000,740
8000,861
9000,1013
10000,1137
11000,1197
12000,1347
13000,1469
14000,1610
15000,1718
16000,1802
17000,2015
18000,2085
19000,2201
20000,2388
21000,2481
22000,2606
23000,2763
24000,2913
25000,3302
26000,3379
27000,3554
28000,3590
29000,3771
30000,4064
31000,4184
32000,4418
33000,4722
34000,4928
35000,5187
36000,5313
37000,5468
38000,5586
39000,5885
40000,6079
41000,6674
42000,6849
43000,6849
44000,6933
45000,7380
46000,7434
47000,7571
48000,7719
49000,7869
50000,8712
51000,8859
52000,8734
53000,9023
54000,9386
55000,9366
56000,9532
57000,9949
58000,9864
59000,9868
60000,10216
