2401068 152093
160 212 0
162 212 0
161 211 0
161 213 0
161 212 0
219 9 0
221 9 0
220 8 0
220 10 0
220 9 0
65 221 0
67 221 0
66 220 0
66 222 0
66 221 0
66 221 1
78 237 0
80 237 0
79 236 0
79 238 0
79 237 0
58 93 0
60 93 0
59 92 0
59 94 0
59 93 0
111 101 0
113 101 0
112 100 0
112 102 0
112 101 0
205 6 0
207 6 0
206 5 0
206 7 0
206 6 0
33 253 0
35 253 0
34 252 0
34 254 0
34 253 0
18 90 0
20 90 0
19 89 0
19 91 0
19 90 0
182 157 0
184 157 0
183 156 0
183 158 0
183 157 0
255 228 0
256 227 0
256 229 0
256 228 0
256 228 1
62 140 0
64 140 0
63 139 0
63 141 0
63 140 0
236 137 0
238 137 0
237 136 0
237 138 0
237 137 0
236 187 0
238 187 0
237 186 0
237 188 0
237 187 0
237 187 1
128 199 0
130 199 0
129 198 0
129 200 0
129 199 0
68 124 0
70 124 0
69 123 0
69 125 0
69 124 0
69 124 1
19 115 0
21 115 0
20 114 0
20 116 0
20 115 0
20 115 1
174 93 0
176 93 0
175 92 0
175 94 0
175 93 0
92 236 0
94 236 0
93 235 0
93 237 0
93 236 0
83 234 0
85 234 0
84 233 0
84 235 0
84 234 0
84 234 1
102 43 0
104 43 0
103 42 0
103 44 0
103 43 0
103 43 1
233 53 0
235 53 0
234 52 0
234 54 0
234 53 0
94 200 0
96 200 0
95 199 0
95 201 0
95 200 0
3 105 0
5 105 0
4 104 0
4 106 0
4 105 0
88 171 0
90 171 0
89 170 0
89 172 0
89 171 0
91 213 0
93 213 0
92 212 0
92 214 0
92 213 0
92 213 1
6 149 0
8 149 0
7 148 0
7 150 0
7 149 0
2 65 0
4 65 0
3 64 0
3 66 0
3 65 0
91 85 0
93 85 0
92 84 0
92 86 0
92 85 0
92 85 1
200 187 0
202 187 0
201 186 0
201 188 0
201 187 0
201 187 1
232 251 0
234 251 0
233 250 0
233 252 0
233 251 0
233 251 1
32 188 0
34 188 0
33 187 0
33 189 0
33 188 0
4 154 0
6 154 0
5 153 0
5 155 0
5 154 0
11 40 0
13 40 0
12 39 0
12 41 0
12 40 0
247 212 0
249 212 0
248 211 0
248 213 0
248 212 0
248 212 1
50 225 0
52 225 0
51 224 0
51 226 0
51 225 0
105 254 0
107 254 0
106 253 0
106 255 0
106 254 0
106 254 1
253 160 0
255 160 0
254 159 0
254 161 0
254 160 0
254 160 1
40 109 0
42 109 0
41 108 0
41 110 0
41 109 0
41 109 1
61 77 0
63 77 0
62 76 0
62 78 0
62 77 0
62 77 1
172 177 0
174 177 0
173 176 0
173 178 0
173 177 0
81 31 0
83 31 0
82 30 0
82 32 0
82 31 0
82 31 1
218 235 0
220 235 0
219 234 0
219 236 0
219 235 0
219 235 1
179 178 0
181 178 0
180 177 0
180 179 0
180 178 0
180 178 1
158 47 0
160 47 0
159 46 0
159 48 0
159 47 0
97 231 0
99 231 0
98 230 0
98 232 0
98 231 0
109 171 0
111 171 0
110 170 0
110 172 0
110 171 0
110 171 1
30 67 0
32 67 0
31 66 0
31 68 0
31 67 0
244 31 0
246 31 0
245 30 0
245 32 0
245 31 0
22 144 0
24 144 0
23 143 0
23 145 0
23 144 0
35 25 0
37 25 0
36 24 0
36 26 0
36 25 0
28 174 0
30 174 0
29 173 0
29 175 0
29 174 0
166 104 0
168 104 0
167 103 0
167 105 0
167 104 0
167 104 1
154 13 0
156 13 0
155 12 0
155 14 0
155 13 0
155 13 1
37 12 0
39 12 0
38 11 0
38 13 0
38 12 0
245 176 0
247 176 0
246 175 0
246 177 0
246 176 0
63 193 0
65 193 0
64 192 0
64 194 0
64 193 0
11 80 0
13 80 0
12 79 0
12 81 0
12 80 0
64 166 0
66 166 0
65 165 0
65 167 0
65 166 0
65 166 1
51 139 0
53 139 0
52 138 0
52 140 0
52 139 0
176 242 0
178 242 0
177 241 0
177 243 0
177 242 0
194 84 0
196 84 0
195 83 0
195 85 0
195 84 0
195 84 1
114 64 0
116 64 0
115 63 0
115 65 0
115 64 0
216 230 0
218 230 0
217 229 0
217 231 0
217 230 0
217 230 1
37 47 0
39 47 0
38 46 0
38 48 0
38 47 0
38 47 1
167 48 0
169 48 0
168 47 0
168 49 0
168 48 0
236 43 0
238 43 0
237 42 0
237 44 0
237 43 0
18 113 0
20 113 0
19 112 0
19 114 0
19 113 0
220 190 0
222 190 0
221 189 0
221 191 0
221 190 0
6 30 0
8 30 0
7 29 0
7 31 0
7 30 0
107 226 0
109 226 0
108 225 0
108 227 0
108 226 0
108 226 1
154 37 0
156 37 0
155 36 0
155 38 0
155 37 0
248 177 0
250 177 0
249 176 0
249 178 0
249 177 0
104 148 0
106 148 0
105 147 0
105 149 0
105 148 0
211 103 0
213 103 0
212 102 0
212 104 0
212 103 0
212 103 1
156 185 0
158 185 0
157 184 0
157 186 0
157 185 0
32 241 0
34 241 0
33 240 0
33 242 0
33 241 0
33 241 1
217 41 0
219 41 0
218 40 0
218 42 0
218 41 0
218 41 1
41 218 0
43 218 0
42 217 0
42 219 0
42 218 0
42 218 1
124 164 0
126 164 0
125 163 0
125 165 0
125 164 0
125 164 1
212 7 0
214 7 0
213 6 0
213 8 0
213 7 0
216 144 0
218 144 0
217 143 0
217 145 0
217 144 0
114 255 0
116 255 0
115 254 0
